studid;classid;schoolid;delta;delta_now;beta;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;comp;pca_socpref_interact;pca_timepref;pca_socpref_nointeract;pca_riskpref;math;read;age;kmeans_cluster;hierarchical_cluster;gpa_i;female;pared_d3
188;16;3;0,69930071;0,69930071;1;50;30;35;45;40;27,242065;1;-0,676638606;-0,629340045;0,35782367;0,551704294;-0,69566113;0,91852623;202;3;3;4,9000001;female;1
189;3;1;0,77519381;0,71942449;0,92805755;35;10;15;50;30;37,452381;1;-0,341112315;0,078405694;-0,788586112;-0,92366111;0,076740928;-0,20566909;212;4;1;5;male;1
190;52;9;0,80000001;0,84033614;1,0504202;25;25;3;40;40;27,890211;1;-0,474255338;0,296928499;-0,160730086;-1,493686066;0,24233508;-1,6121433;221;1;1;4,9000001;female;0
191;8;2;0,81967211;0,89285713;1,0892857;25;0;49;100;100;21,666666;0;0,556285522;-0,13056343;-0,491108571;0,352117228;1,831038;1,5178853;203;5;3;5;male;1
192;15;3;0,75757575;0,56497175;0,74576271;50;50;10;50;50;44,687832;1;-0,092017544;-0,681357362;0,843016382;-1,107242332;-1,3183616;-1,2797124;197;3;3;4;male;0
193;7;2;0,52910054;0,48543689;0,9174757;25;0;50;100;100;50;1;1,410260214;-1,325329592;-0,552377875;0,168688077;1,434279;1,1812361;201;3;2;5;male;1
194;43;7;0,5780347;0,97087377;1,6796116;25;25;10;50;50;17,021164;0;-0,287175866;0,739579922;-0,44940826;-0,847148505;-1,482622;-1,0955101;193;1;1;3,3;female;0
195;37;6;0,81967211;0,81967211;1;40;25;26;50;60;22,802248;0;-0,193465056;0,96130563;-0,18134054;0,362672753;0,04351119;-0,44635031;199;1;3;4,9000001;male;1
196;17;3;0,97087377;0,97087377;1;50;50;99;100;100;50;1;1,540462475;1,543427031;1,442141173;2,952640941;0,73100448;-0,045254122;202;2;2;3,9000001;male;0
197;49;8;0,81967211;0,69930071;0,85314685;27,75;1,25;33;75;50;33,179893;1;0,185313489;0,432188021;-0,547165522;-0,047988978;0,44949427;0,76420385;221;1;3;4,6999998;male;1
