;studid;classid;delta;beta;beta_0;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;mean_delta;mean_beta;mean_beta_0;mean_dictator;mean_dictator_schoolmate;mean_risk;mean_publicgood;mean_trust;mean_trust_return;sd_delta;sd_beta;sd_beta_0;sd_dictator;sd_dictator_schoolmate;sd_risk;sd_publicgood;sd_trust;sd_trust_return;delta_diff;beta_diff;beta_0_diff;dictator_diff;dictator_schoolmate_diff;risk_diff;publicgood_diff;trust_diff;trust_return_diff
45;45;11;0,75757575;0,81987578;0,18012422;40;35;51;50;50;53,182541;0,732471031;1,04069003;0,154807852;45,90909091;37,18181818;34,45454545;64,31818182;49,09090909;41,75702068;0,140514985;0,21262543;0,147774867;18,49300792;20,43196926;17,4812206;24,11754225;18,23369223;9,6647384;4,658952172;2,815272927;1,064101853;-43,74611125;-35,46881639;-31,53712904;-62,24500208;-46,34873272;-36,25428085
46;46;5;0,52910054;1;0;50;17,5;51;70;70;50,756615;0,70863588;1,004748103;0,089457733;36,28333338;25,28333338;43;61,40952371;58,0952381;39,50544905;0,1582697;0,134855003;0,09902891;18,63822235;20,23804174;22,64729564;30,84512782;25,0237982;20,44483656;2,634395292;6,410623776;-0,089457733;-33,60067411;-24,41862521;-40,7480755;-59,14012154;-55,29790096;-37,02283615
47;47;24;0,48543689;1,019802;0,019801974;50;50;51;70;50;41,276455;0,723560425;1,111723687;0,139370925;42,5;30,46875;29,125;49,375;42,5;31,33064746;0,177431274;0,225451091;0,208382644;13,16561177;18,8020112;15,07260208;28,45317791;15,27525232;13,89310693;2,012354609;3,411660942;-0,044343942;-38,70222737;-27,80946002;-25,7413772;-46,91481786;-39,22673165;-28,35964499
48;48;1;0,97087377;0,97169811;0,028301895;50;100;35;50;100;43,096561;0,745461452;0,966396618;0,093583437;40;33,0952381;28,47619048;53,0952381;51,42857143;41,6582526;0,167640515;0,135086686;0,101184519;14,23024947;21,12322126;17,55169236;19,45997113;16,21286967;14,59391075;5,04594148;6,226748311;0,186122346;-36,48635816;-28,36111167;-26,48208078;-50,52586121;-45,26063188;-38,70520171
49;49;10;0,69930071;1,2767857;0,27678573;5;5;50;10;10;2,1521163;0,83349433;1,002473878;0,129752457;37,98076923;31,82692308;41,23076923;68,05769231;65,38461538;31,20848115;0,131392262;0,200899772;0,151188481;20,12485069;25,38264853;19,24433983;31,96696011;28,59800961;15,65439741;4,488742305;5,352862853;1,700980465;-37,73232018;-31,62993812;-38,63260268;-67,74486932;-65,0349407;-31,07100436
50;50;21;0,62111801;1,3196721;0,31967211;45;20;33;20;50;34,555557;0,702187606;1,079747691;0,109235355;43,681579;27,76052637;28,94736842;58,86842105;47,36842105;35,23713537;0,15620482;0,168528073;0,150064825;9,216458904;15,91463851;16,30430647;25,47648268;11,47078669;14,22066757;3,274117426;6,750829578;2,020991436;-38,79900962;-26,50382173;-26,92336329;-58,08338333;-43,00952211;-32,80718215
51;51;3;0,66666669;0,94936705;0,050632954;60;29;77;78;50;23,236773;0,757757626;0,965606027;0,083024058;40,41666667;23,27777778;32,44444444;52,38888889;45,55555556;45,19341672;0,133750728;0,121802566;0,093754636;17,02614771;14,11634662;18,73098164;19,10694019;21,48110585;16,92366859;4,226639112;6,828704717;0,457034079;-36,89267516;-21,22342187;-28,3336081;-48,3066026;-43,22792865;-43,82038269
52;52;34;0,7352941;1,030303;0,030303001;50;35;11;50;20;17,021164;0,778897596;0,942151028;0,161236964;40,89473684;34,31578947;36,52631579;63,94736842;56,31578947;39,12197261;0,123246916;0,239262121;0,182584575;20,08840112;23,26192079;19,59696241;23,3082572;26,71049031;25,03778546;5,187126737;3,364017431;0,004729964;-38,40573836;-32,81118457;-35,96500431;-61,80220589;-55,56701999;-38,44215354
53;53;46;0,66666669;1;0;40;25;38;35;50;31,350529;0,709444182;1,042657502;0,120738075;27,66666667;26,24242424;34,12121212;55,01515152;50,90909091;34,12513064;0,17942831;0,198034206;0,161433699;19,0573422;19,63499794;17,31826632;27,59712532;26,14426758;14,92949974;3,006060295;4,006975188;-0,120738075;-25,5677381;-24,96918754;-31,92699711;-53,74690348;-48,99662578;-32,02522578
54;54;46;0,77519381;0,94852942;0,051470578;50;15;40;70;100;29,041008;0,709444182;1,042657502;0,120738075;27,66666667;26,24242424;34,12121212;55,01515152;50,90909091;34,12513064;0,17942831;0,198034206;0,161433699;19,0573422;19,63499794;17,31826632;27,59712532;26,14426758;14,92949974;3,610909775;3,747067665;0,198096086;-25,04300595;-25,47848222;-31,81151211;-52,47865544;-47,08416066;-32,17992092
